1021,"Total no of Candidate Registration Data(Upload Process)","2013-04-27",0
1016,"Total no of Job (P2N + Transcribed)","2013-04-27",0
1010,"Total no of Resume (Vender)","2013-04-27",0
1014,"Total no of Employer Registration Data","2013-04-27",54
1015,"Total no of Job (N2N)","2013-04-27",1385
1019,"Total no of Candidate Registration Data(Unpaid)","2013-04-27",2766
1011,"Total no of Resume (TJ + Vendor)","2013-04-27",3569
1009,"Total no of Resume (TJ)","2013-04-27",3569
1022,"Total no of CV Uploaded ","2013-04-27",4005
1020,"Total no of Candidate Registration Data(Paid)","2013-04-27",4284
1008,"Total no of Candidate Registration Data","2013-04-27",7049
1012,"Total no of Resume Edited","2013-04-27",24730
1018,"Total No. of Active Jobs","2013-04-27",61530
1013,"Total no of Application fired","2013-04-27",103491
1017,"Total No. Candidates logged In","2013-04-27",141119
1003,"Stage 2 Previous Registration","2013-04-27",201
1004,"Stage 2 Same Day Registration","2013-04-27",3365
1002,"Total Stage 2 complete","2013-04-27",3566
1008,"Alert ready Registration","2013-04-27",5110
1001,"Total Registration","2013-04-27",7049
1007,"Stage 1 Post Oct 31 conversion","2013-04-27",89764
1005,"Stage 1 total 48L conversion","2013-04-27",206631
1006,"Endorsement Received","2013-04-27",114
1009,"Contact by Mail Response","2013-04-27",20808
